enrollee_id,full_name,city,gender,enrolled_university,education_level,major_discipline,relevent_experience,experience,company_size,company_type,last_new_job,training_hours,employed,city_development_index
8949,Mike Jones,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,unknow,unknow,1,36,1.0,0.92
29725,Laura Jones,city_40,Male,no_enrollment,Graduate,STEM,No relevent experience,15,50-99,Pvt Ltd,>4,47,0.0,0.7759999999999999
11561,David Miller,city_21,unknow,Full time course,Graduate,STEM,No relevent experience,5,unknow,unknow,never,83,0.0,0.624
33241,Laura Davis,city_115,unknow,unknow,Graduate,Business Degree,No relevent experience,<1,unknow,Pvt Ltd,never,52,1.0,0.789
666,Alex Martinez,city_162,Male,no_enrollment,Masters,STEM,Has relevent experience,>20,50-99,Funded Startup,4,8,0.0,0.767
21651,Mike Garcia,city_176,unknow,Part time course,Graduate,STEM,Has relevent experience,11,unknow,unknow,1,24,1.0,0.764
28806,Mike Davis,city_160,Male,no_enrollment,High School,unknow,Has relevent experience,5,50-99,Funded Startup,1,24,0.0,0.92
402,John Smith,city_46,Male,no_enrollment,Graduate,STEM,Has relevent experience,13,<10,Pvt Ltd,>4,18,1.0,0.762
27107,John Jones,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,7,50-99,Pvt Ltd,1,46,1.0,0.92
699,John Williams,city_103,unknow,no_enrollment,Graduate,STEM,Has relevent experience,17,10000+,Pvt Ltd,>4,123,0.0,0.92
29452,Laura Miller,city_21,unknow,Full time course,High School,unknow,No relevent experience,2,unknow,unknow,never,32,1.0,0.624
23853,Laura Johnson,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,5,5000-9999,Pvt Ltd,1,108,0.0,0.92
25619,Laura Miller,city_61,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,1000-4999,Pvt Ltd,3,23,0.0,0.913
5826,Alex Davis,city_21,Male,unknow,unknow,unknow,No relevent experience,2,unknow,unknow,never,24,0.0,0.624
8722,Mike Jones,city_21,unknow,Full time course,High School,unknow,No relevent experience,5,unknow,unknow,never,26,0.0,0.624
6588,John Johnson,city_114,Male,no_enrollment,Graduate,STEM,Has relevent experience,16,10/49,Pvt Ltd,>4,18,0.0,0.926
